"id","location_name","latitude","longitude","preferred_wind_dir_min","preferred_wind_dir_max","preferred_swell_dir_min","preferred_swell_dir_max","bad_swell_dir_min","bad_swell_dir_max","wavecalc","region","reef"
269,"El Paso",32.03589,-116.886783,60,120,,,,,1.9,"WestCoast",FALSE
271,"Salsipuedes",31.975145,-116.790638,50,110,230,280,320,90,1.95,"WestCoast",FALSE
300,"Beachbreak",23.819522,-110.738182,30,80,,,340,90,2.33,"WestCoast",FALSE
320,"El Ricon",23.48555,-109.450269,40,110,130,160,185,90,1.1,"WestCoast",FALSE
432,"Honomanu",20.945731,-156.135639,205,285,320,40,125,290,1.05,"Maui",TRUE
338,"Santa Cruz",21.436592,-105.203281,75,125,,,,,1.5,"WestCoast",FALSE
343,"Sayulita",20.873011,-105.441773,105,165,280,330,90,230,1.45,"WestCoast",FALSE
540,"Keawa’ula",21.54421,-158.241363,359,80,190,310,345,160,3.65,"Oahu",FALSE
341,"San Pancho",20.899439,-105.41838,85,135,270,10,90,210,1.5,"WestCoast",FALSE
354,"El Paraiso",18.873466,-103.989751,10,60,160,230,320,90,0.88,"WestCoast",FALSE
355,"Pascuales",18.853295,-103.962332,25,75,175,220,320,90,0.62,"WestCoast",FALSE
357,"La Ticla",18.452742,-103.5583,25,75,,,,,1.1,"WestCoast",FALSE
359,"Rio Nexpa",18.084763,-102.791949,20,70,,,,,1,"WestCoast",FALSE
252,"K-38",32.26358,-117.006152,30,80,180,240,330,90,0.7,"WestCoast",FALSE
258,"Rauls",32.24542,-116.943819,30,80,,,,,1.4,"WestCoast",FALSE
256,"La Gaviotas",32.251708,-116.962144,10,60,,,330,90,1.23,"WestCoast",FALSE
259,"Cantamar",32.22659,-116.924047,60,120,210,250,,,1.3,"WestCoast",FALSE
262,"Dunes",32.212884,-116.918854,70,130,,,,,1.5,"WestCoast",FALSE
254,"Teresas",32.260432,-116.993771,20,70,,,330,90,1,"WestCoast",FALSE
340,"Costa Azul",20.932305,-105.401185,100,160,,,90,230,1.2,"WestCoast",FALSE
336,"San Blas",21.525398,-105.286274,40,90,170,230,305,90,1.5,"WestCoast",FALSE
361,"Playa Azul",17.978007,-102.349861,350,40,,,320,90,0.7,"WestCoast",FALSE
364,"Troncones",17.793775,-101.748359,50,100,,,,,0.86,"WestCoast",FALSE
538,"Makaha",21.474114,-158.226219,245,65,135,320,345,130,2.73,"Oahu",FALSE
546,"Jockos",21.622838,-158.084584,100,180,290,355,70,240,2.2,"Oahu",TRUE
401,"Kawaihae",20.029288,-155.832124,35,110,220,310,330,190,1.7,"Hawaii",TRUE
116,"Ventura Harbor",34.243728,-119.271903,330,170,,,315,90,1.04,"WestCoast",FALSE
56,"Pleasure Point",36.953931,-121.971713,295,40,150,240,330,90,1.7,"WestCoast",FALSE
406,"Kahalu'u Bay",19.580225,-155.968875,65,125,190,310,340,140,2,"Hawaii",TRUE
446,"Olowalu",20.80857,-156.623803,5,95,190,250,270,160,1.26,"Maui",FALSE
58,"Capitola",36.969164,-121.94991,310,20,170,230,275,90,3.5,"WestCoast",FALSE
182,"Salt Creek",33.477414,-117.723986,30,110,,,325,90,0.87,"WestCoast",FALSE
542,"Hale'iwa",21.595378,-158.108636,110,190,285,340,40,240,2.1,"Oahu",TRUE
184,"T-Street",33.417325,-117.620467,10,90,,,325,90,0.97,"WestCoast",FALSE
74,"Pierdas Blancas",35.670857,-121.290297,60,200,220,320,330,200,0.81,"WestCoast",FALSE
68,"Mole Point",36.608996,-121.963309,70,150,200,270,320,90,0.94,"WestCoast",FALSE
456,"WindMills",21.048274,-156.567525,145,205,,,100,300,3.65,"Maui",TRUE
154,"Lunada Bay",33.771528,-118.426192,320,150,210,280,325,90,0.8,"WestCoast",FALSE
400,"Hapuna Bay",19.990957,-155.835394,70,130,220,310,350,190,3.35,"Hawaii",FALSE
230,"Pacific Beach",32.796551,-117.258164,25,115,,,355,90,1.51,"WestCoast",FALSE
186,"Cottons",33.387597,-117.597722,30,110,180,230,330,90,0.97,"WestCoast",FALSE
448,"Lahaina",20.86969,-156.678696,25,105,185,240,270,160,0.97,"Maui",FALSE
66,"Asilomar",36.620108,-121.946181,90,170,200,270,320,90,0.67,"WestCoast",FALSE
450,"Rainbows",20.947974,-156.693458,60,140,,,30,170,1.35,"Maui",FALSE
452,"S Turns",20.967348,-156.68245,80,160,,,40,180,3,"Maui",FALSE
512,"Publics",21.111191,-157.828726,45,125,160,260,310,100,3.15,"Oahu",FALSE
490,"Turtle Bay",21.703232,-158.001672,95,175,290,50,90,270,2.02,"Oahu",TRUE
508,"Diamond",21.110282,-157.798258,305,25,115,250,290,80,2.2,"Oahu",FALSE
548,"Chuns",21.624339,-158.082737,100,180,290,355,70,240,1.66,"Oahu",TRUE
30,"Jetty",37.499608,-122.472248,290,90,170,250,300,90,1.37,"WestCoast",FALSE
562,"Rocky Point",21.669923,-158.048039,95,175,290,355,70,230,1.81,"Oahu",TRUE
552,"Log Cabins",21.659598,-158.059782,85,165,290,355,70,240,2,"Oahu",TRUE
558,"Backdoor",21.663689,-158.054756,85,165,290,355,70,230,2.08,"Oahu",TRUE
187,"Upper Trestles",33.381471,-117.590188,350,70,185,220,315,90,0.89,"WestCoast",FALSE
70,"Rivermouth",36.277976,-121.859049,250,135,200,270,320,90,1.08,"WestCoast",FALSE
76,"Cayucos Pier",35.446351,-120.905533,290,55,180,240,300,90,1.88,"WestCoast",FALSE
454,"Honolua Bay",21.04871,-156.572175,20,165,340,20,40,220,3.7,"Maui",TRUE
64,"Boneyard",36.638395,-121.930963,120,200,270,350,90,260,1.08,"WestCoast",FALSE
152,"Torrance",33.813173,-118.393727,60,140,,,330,205,1.02,"WestCoast",FALSE
159,"Seal Pier",33.735857,-118.103865,340,60,200,265,300,90,1.13,"WestCoast",FALSE
54,"Blacks Beach",36.95888,-121.993297,340,125,190,260,320,90,1.55,"WestCoast",FALSE
48,"Three Mile",36.961068,-122.1144,300,110,150,240,320,90,1.24,"WestCoast",FALSE
60,"Manresa",36.923523,-121.863601,20,100,200,270,310,90,0.83,"WestCoast",FALSE
72,"Sand Dollar",35.924561,-121.472202,315,240,220,280,320,90,0.78,"WestCoast",FALSE
26,"Montara",37.55201,-122.519335,60,220,300,340,1,220,0.95,"WestCoast",FALSE
6,"Township",39.301547,-123.802053,345,65,280,315,335,90,1.35,"WestCoast",FALSE
1,"South Beach",41.73945,-124.175666,340,60,170,235,290,90,1.48,"WestCoast",FALSE
2,"Sue-meg",41.130526,-124.165408,95,175,290,340,,,1,"WestCoast",FALSE
10,"Ocean Beach",37.759242,-122.515567,45,125,,,,,0.68,"WestCoast",FALSE
44,"Davenpot",37.021895,-122.218943,315,120,170,250,340,90,1.15,"WestCoast",FALSE
11,"Rockaway",37.611033,-122.498847,65,145,290,320,90,225,0.89,"WestCoast",FALSE
5,"Glass Beach",39.452202,-123.814497,75,155,280,320,330,90,1.3,"WestCoast",FALSE
62,"Moss Landing",36.810407,-121.802749,40,185,200,280,320,90,0.56,"WestCoast",FALSE
126,"Zuma",34.021161,-118.836077,1,81,160,240,310,90,0.7,"WestCoast",FALSE
148,"Breakwater",33.851055,-118.402478,45,160,245,310,330,190,0.93,"WestCoast",FALSE
98,"Mesa Lane",34.394866,-119.734672,345,65,250,290,320,90,2.8,"WestCoast",FALSE
4,"Shelter Cove",40.02395,-124.062526,310,30,180,240,290,90,2.5,"WestCoast",FALSE
142,"El Porto",33.905866,-118.425485,30,110,200,260,310,90,0.8,"WestCoast",FALSE
8,"Salmon Creek",38.353048,-123.069768,60,140,,,,,1.15,"WestCoast",FALSE
156,"Cabrillo",33.706295,-118.283482,240,50,200,250,310,90,1.2,"WestCoast",FALSE
171,"Upper Jetties",33.621503,-117.946957,330,50,158,199,350,90,1.14,"WestCoast",FALSE
144,"Manhattan",33.878758,-118.412798,30,110,200,260,310,90,0.75,"WestCoast",FALSE
204,"Moonlight",33.047037,-117.298923,35,115,,,340,90,0.99,"WestCoast",FALSE
162,"HB Cliffs",33.674095,-118.029508,5,85,,,315,90,1.14,"WestCoast",FALSE
193,"O'side Pier",33.193869,-117.387461,10,90,,,330,90,1.15,"WestCoast",FALSE
132,"Malibu First",34.035291,-118.676746,305,25,170,250,310,90,2,"WestCoast",FALSE
190,"Church",33.379456,-117.57772,335,55,200,240,310,90,0.87,"WestCoast",FALSE
160,"Bolsa Chica",33.685834,-118.043069,10,90,,,315,90,1.16,"WestCoast",FALSE
176,"The Wedge",33.590719,-117.882676,350,115,150,215,310,90,0.89,"WestCoast",FALSE
198,"Ponto",33.085983,-117.313915,35,115,,,340,90,0.88,"WestCoast",FALSE
192,"O'side Harbor",33.202115,-117.394608,5,130,200,240,310,90,0.68,"WestCoast",FALSE
216,"Del Mar",32.959215,-117.270007,40,120,,,340,90,1.1,"WestCoast",FALSE
200,"Grandview",33.076462,-117.310942,35,115,,,340,90,0.84,"WestCoast",FALSE
196,"Tamarack",33.149706,-117.350119,20,100,,,340,90,1.23,"WestCoast",FALSE
205,"D-Street",33.045603,-117.298806,35,115,,,340,90,0.92,"WestCoast",FALSE
3,"Trinidad",41.060577,-124.152835,75,155,215,245,335,90,1.1,"WestCoast",FALSE
7,"Point Arena",38.914349,-123.71264,30,110,200,250,315,90,0.95,"WestCoast",FALSE
202,"Beacons",33.064537,-117.307039,35,115,,,340,90,1.07,"WestCoast",FALSE
